2013 is going to be a new motivated carrie no matter what it takes	positive
the party last night was superb everyone enjoying it	positive
does anyone sub to mike stroud on facebook he is the only reason i go onto it and he added me as a friend asdfghjkl	positive
and it cost a whopping total what a steal	positive
i never claimed i a nerd pinkbling	positive
found my razors	positive
no work today yaaytimetorelax	positive
seriously just stop smiling	positive
windows down heat blasting and dancing to in my car love these moments	positive
wait to do my room over in the february holidays	positive
has the best girlfriend in the world	positive
mon agenda i have nothing to do woop woop	positive
seeing my mommy today only reason happy	positive
got an idea where going sit next	positive
this conversation isnt about anyting but since we havent talked like this in forever it means everything to me	positive
capslock fixed	positive
listening to one direction just asleep	positive
bom diia domingueira linda 7lakes	positive
mommy is so sweet	positive
so glad to hear my nan won 00 and finally paid off her home insurance happen to a more wonderful person	positive
now a part of the iphone family	positive
finally got twitter to work on my phone	positive
hockey is back omfg canadiannhllockou	positive
yay my bday today got xbox live stuff and birthday brownies later like birthday cake but brownies	positive
word of advice for you all never go to dhaka backhomedub	positive
omg my girl is home again missed yah babe	positive
just washed my car ahh just to warm at least i have a clean car swi	positive
no more lockout finall	positive
minimized my webbrowser what was my desktop hoisting the cup so appropriate hockeytime	positive
yess eastendersomnibusis back on sundays	positive
i held you today i held your hands wrapped my arms around your body laid in bed with you this all seems crazy what am i doing	positive
jgh from marquee with sister haha	positive
feeling good because you can remember something and n ne else can	positive
surprise my leg is better	positive
i want you to smile when you think of me of	positive
first juice on a sunday morning is the best feeling	positive
love talking to new people well people not talked to in a long time	positive
done with the check	positive
i know trish is going to put me in a bad mood but its her job to be hard on me she only wants me to get better basketball	positive
nothing is great than getting a call from childhood friend	positive
its 14h00 nw let me end everything so that i can be able 2 watch omnibus cant wait	positive
i hate him i want to squeeze lime juice into his eyes samemindfrien	positive
problems are gone sehun is happy	positive
happiest been in like forever	positive
such a good night	positive
sehun and his keyboard are good again	positive
going downstairs and see quantum of solace on tv	positive
off to marbles billiards muna ang peg with them	positive
great morning shooting winner again to 1 ill take that	positive
hope all this is gonna stay this way	positive
keyboard brake heart noona is	positive
nhl is back my heart is still broken no more rogers arena or team merchandise millionaires vs billionaires dumbnomorelockou	positive
uy thank you sa follow	positive
seriously cant stop smile	positive
new twitter gre	positive
happy cause today is the first day getting to babysit my wee brother an sister	positive
today celebrating birthday with my bestie	positive
happy happy happy happy	positive
dear brain please stop thinking very sleepy felecia thinkingimissyouboyfrien	positive
hair finally goes up messy	positive
gonna be spending the rest of my day with	positive
won good game and good result	positive
new tekkit are excited for the first release of my yogscity map	positive
what a good session	positive
planning a weekend away with for after the exams	positive
weird how much things can change in a year dontlookbackbetteroff	positive
just watching big fat quiz of the year and gerard butler comes on what a nice suprise	positive
welcome to buffalo doug marrone finally a young mind in buffalo	positive
love getting good news	positive
oh hello world	positive
has lost 5 pounds in 2 days	positive
the endof lockout	positive
my aydndvd is on the way woohoo	positive
waxed my eyebrows so pretty now	positive
omg saturdays at 7 bbc3 they are showing merlin from the start bring	positive
what a cutie socute	positive
just spent the morning changing about my living room	positive
so since i have updated my ios into the latest my 4s felt like the 5 hmm	positive
5 a side gym then circuit trainning that how sundays should be friendsfitne	positive
imbis na mag review gumala pako just got home	positive
go to the beach famil	positive
bom dia twitter acabeideacord	positive
ugh wanna studyy but its a study date soo	positive
loved that she spent the night with me wasntlonelylastnightlovecuddling	positive
wounded if you have school tomorrow go back till tuesday	positive
how good do you look in the star today made my sunday morning	positive
it feels great	positive
can just relax today and do a bit of art	positive
the goodnight text i got	positive
first session back completed comeback	positive
after all the laziness and distractions i finally finished my formal report	positive
great game won scored one	positive
ooh mon bebe est arrivee enfin	positive
alls i have to do today is finish off my history essay and finish off my english coursework	positive
yyaay lost off my tum in 4 dayss and 1 from waist	positive
stay busy stay	positive
tomorrow comes the song	positive
nhl lockout over	positive
watching andrew cook over skype sundaymorning	positive
so good plans tonight	positive
today has been a good day boy takes me out shopping followed by lunch followed by ice cream	positive
yes no more lockout let the ames begin nhl	positive
in leicester i am home lovel	positive
finished all my coursework and revision	positive
i just woke up what a fucking good sleep	positive
woke up to a bird singing at my window preshcal	positive
back in england	positive
knowing i have to see et rileys face on madness makes my day	positive
going to go to bed and read book boulle	positive
nhlis back wait to watch play yeahbu	positive
