@relation 'Twitter-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.504interjectionFeature=0-0.483reply_feature=0+0.472interjectionFeature=1+0.441reply_feature=1+0.159exclamationFeature... numeric
@attribute '-0.503reply_feature=0+0.49 interjectionFeature=0-0.479interjectionFeature=1+0.472reply_feature=1+0.126reply_feature=2...' numeric
@attribute -0.53fearEmoticon-0.449tongueStickOutEmoticon-0.447angryEmoticon-0.369smirkingEmoticon-0.357tiredEmoticon... numeric
@attribute 0.566reply_feature=2+0.414winkingEmoticon-0.311reply_feature=1+0.303interjectionFeature=2+0.276surpriseEmoticon... numeric
@attribute 0.556interjectionFeature=2-0.406reply_feature=2-0.314winkingEmoticon+0.308smilingEmoticon+0.256kissingEmoticon... numeric
@attribute -0.628smilingEmoticon+0.359surpriseEmoticon+0.344sadEmoticon+0.296interjectionFeature=2-0.288exclamationFeature... numeric
@attribute 0.558triumphEmoticon-0.447reply_feature=5+0.386neutralEmoticon-0.294exclamationFeature-0.281sadEmoticon... numeric
@attribute '0.38 reply_feature=8+0.348surpriseEmoticon+0.343neutralEmoticon-0.3kissingEmoticon-0.267reply_feature=6...' numeric
@attribute -0.439reply_feature=5+0.416reply_feature=8-0.371sadEmoticon+0.366reply_feature=3-0.346triumphEmoticon... numeric
@attribute 0.623reply_feature=3-0.598kissingEmoticon-0.254interjectionFeature=4-0.168winkingEmoticon-0.166interjectionFeature=3... numeric
@attribute -0.66reply_feature=4+0.428interjectionFeature=3-0.377reply_feature=6-0.283reply_feature=8-0.241interjectionFeature=4... numeric
@attribute 0.674reply_feature=4-0.465reply_feature=6-0.334reply_feature=8+0.313interjectionFeature=3-0.256interjectionFeature=4... numeric
@attribute -0.655interjectionFeature=3+0.522worriedEmoticon-0.495reply_feature=6+0.105kissingEmoticon-0.103winkingEmoticon... numeric
@attribute 0.761worriedEmoticon+0.377interjectionFeature=3+0.293reply_feature=6+0.281interjectionFeature=4-0.228reply_feature=5... numeric
@attribute 0.736interjectionFeature=4-0.43reply_feature=8-0.29worriedEmoticon-0.209reply_feature=6+0.171winkingEmoticon... numeric
@attribute 0.442winkingEmoticon-0.377sadEmoticon-0.353reply_feature=2-0.344reply_feature=8-0.333triumphEmoticon... numeric
@attribute 0.522neutralEmoticon+0.435kissingEmoticon-0.333triumphEmoticon-0.279winkingEmoticon-0.226smirkingEmoticon... numeric
@attribute '-0.533winkingEmoticon-0.501sadEmoticon+0.32 tiredEmoticon-0.282smilingEmoticon+0.222reply_feature=2...' numeric
@attribute '-0.547exclamationFeature+0.481reply_feature=5-0.32surpriseEmoticon-0.315smirkingEmoticon+0.2  neutralEmoticon...' numeric
@attribute '0.51 interjectionFeature=2-0.406triumphEmoticon-0.388kissingEmoticon+0.279neutralEmoticon-0.277reply_feature=3...' numeric
@attribute -0.623tiredEmoticon+0.599smirkingEmoticon-0.248interjectionFeature=2-0.204exclamationFeature+0.201reply_feature=5... numeric
@attribute -0.537tongueStickOutEmoticon+0.516smirkingEmoticon+0.439tiredEmoticon+0.248neutralEmoticon-0.237angryEmoticon... numeric
@attribute -0.466surpriseEmoticon-0.465smilingEmoticon+0.433angryEmoticon+0.387exclamationFeature-0.248sadEmoticon... numeric
@attribute classname {0,1}

@data

-0.976393,-0.119274,0.066405,-0.121089,-0.090656,0.183818,0.168355,-0.146845,0.180767,-0.050381,0.006265,0.000224,-0.042181,-0.024411,0.085044,0.069974,-0.130755,0.194101,0.217799,0.036846,0.090508,-0.092333,0.117624,0
-0.585335,-0.121992,0.029368,0.364369,0.207541,-0.525711,-0.555555,0.464561,-0.216366,0.221016,0.449504,0.092836,-0.043113,-0.130265,-0.213661,-0.102924,0.347087,0.013663,-1.129434,-0.131697,-0.412054,0.040521,1.071034,0
-0.418577,0.33989,0.053496,1.061346,-0.556585,1.719413,-0.482514,1.341571,0.722041,-0.190912,-0.150554,-0.03731,-0.030874,-0.012917,0.169779,1.095304,0.305929,1.00671,-1.153619,-0.831686,-0.366588,-0.744411,-1.875467,0
-0.588426,-0.324877,-0.07664,0.663575,1.314177,-2.785605,-1.022866,0.920422,-0.48216,0.004454,0.046895,0.06001,-0.031903,-0.164903,-0.696721,0.067406,0.245654,-1.001202,-0.636767,0.056363,-0.435271,0.552889,-0.601726,0
1.418754,2.21095,0.102008,-0.702943,1.236437,-2.231874,0.014653,0.383627,-0.175459,-0.389211,-0.428828,-0.064334,0.152411,-0.109378,-0.420649,0.462782,-0.554081,-0.99655,1.046392,0.328018,0.09838,0.530457,-1.441987,0
-0.976393,-0.119274,0.066405,-0.121089,-0.090656,0.183818,0.168355,-0.146845,0.180767,-0.050381,0.006265,0.000224,-0.042181,-0.024411,0.085044,0.069974,-0.130755,0.194101,0.217799,0.036846,0.090508,-0.092333,0.117624,0
-0.976393,-0.119274,0.066405,-0.121089,-0.090656,0.183818,0.168355,-0.146845,0.180767,-0.050381,0.006265,0.000224,-0.042181,-0.024411,0.085044,0.069974,-0.130755,0.194101,0.217799,0.036846,0.090508,-0.092333,0.117624,0
-0.979485,-0.322159,-0.039604,0.178116,1.01598,-2.076076,-0.298956,0.309016,-0.085027,-0.266943,-0.396344,-0.032602,-0.030972,-0.05905,-0.398016,0.240304,-0.232188,-0.820763,0.710466,0.224905,0.067291,0.420035,-1.555136,0
1.418754,2.21095,0.102008,-0.702943,1.236437,-2.231874,0.014653,0.383627,-0.175459,-0.389211,-0.428828,-0.064334,0.152411,-0.109378,-0.420649,0.462782,-0.554081,-0.99655,1.046392,0.328018,0.09838,0.530457,-1.441987,0
-0.585335,-0.121992,0.029368,0.364369,0.207541,-0.525711,-0.555555,0.464561,-0.216366,0.221016,0.449504,0.092836,-0.043113,-0.130265,-0.213661,-0.102924,0.347087,0.013663,-1.129434,-0.131697,-0.412054,0.040521,1.071034,0
2.291167,-2.980777,0.045828,-0.114084,-0.430667,-0.458373,-0.541527,0.28249,-0.234008,0.267882,0.2584,0.035004,0.101723,-0.16981,-0.27577,-0.09271,0.359406,-0.091018,-0.901979,-0.443207,-0.215533,0.010958,0.919344,0
-0.585335,-0.121992,0.029368,0.364369,0.207541,-0.525711,-0.555555,0.464561,-0.216366,0.221016,0.449504,0.092836,-0.043113,-0.130265,-0.213661,-0.102924,0.347087,0.013663,-1.129434,-0.131697,-0.412054,0.040521,1.071034,0
-0.976393,-0.119274,0.066405,-0.121089,-0.090656,0.183818,0.168355,-0.146845,0.180767,-0.050381,0.006265,0.000224,-0.042181,-0.024411,0.085044,0.069974,-0.130755,0.194101,0.217799,0.036846,0.090508,-0.092333,0.117624,0
